Path,Title,PageViews,Freshness (report),LastReviewed (report),LastReviewed (file)
powerbi-docs/connect-data/service-gateway-deployment-guidance.md,Guidance for deploying a data gateway for the Power BI service - Power BI,1364.0,> 365 days,2024-05-23,2024-05-23
powerbi-docs/connect-data/service-datasets-rename.md,New name for Power BI datasets - Power BI,1339.0,> 365 days,2023-11-14,2023-11-14
powerbi-docs/create-reports/desktop-evaluation-configuration.md,Evaluation configuration settings for Desktop - Power BI,1331.0,> 365 days,2022-08-13,2022-08-13
powerbi-docs/transform-model/dataflows/dataflows-configure-consume.md,Configure and consume a dataflow - Power BI,1315.0,> 365 days,2024-02-02,2024-02-02
powerbi-docs/developer/visuals/samples.md,Examples of Power BI visuals - Power BI,1312.0,> 365 days,2024-10-13,2024-10-13
powerbi-docs/developer/visuals/visual-project-structure.md,Power BI visual project structure - Power BI,1293.0,> 365 days,2024-06-09,2024-06-09
powerbi-docs/report-server/install-powerbi-desktop.md,Install Power BI Desktop for Power BI Report Server - Power BI,1271.0,> 365 days,2023-05-24,2023-05-24
powerbi-docs/visuals/power-bi-visualization-q-and-a.md,Create a Q&A visual in a report - Power BI,1263.0,> 365 days,2023-09-28,2023-09-28
powerbi-docs/developer/embedded/move-to-production.md,Move your Power BI embedded analytics app to production - Power BI,1262.0,> 365 days,2024-01-20,2024-01-20
powerbi-docs/troubleshoot.md,Power BI known issues and troubleshooting - Power BI,1190.0,> 365 days,2024-02-13,
powerbi-docs/paginated-reports/paginated-reports-odbc-support.md,Power BI gateway and Report Builder support for ODBC data sources - Power BI,1187.0,> 365 days,2023-09-28,2023-09-28
powerbi-docs/connect-data/desktop-tutorial-importing-and-analyzing-data-from-a-web-page.md,Tutorial: Import and analyze data from a webpage - Power BI,1187.0,> 365 days,2024-07-25,2024-07-25
powerbi-docs/create-reports/desktop-optimize-ribbon.md,Optimize ribbon in Power BI Desktop - Power BI,1184.0,> 365 days,2023-05-22,2023-05-22
powerbi-docs/developer/projects/projects-azdo.md,Azure DevOps integration with Power BI Desktop projects - Power BI,1166.0,> 365 days,2024-08-13,2024-08-13
powerbi-docs/connect-data/service-tutorial-connect-to-github.md,Tutorial: Connect to a GitHub repo with Power BI - Power BI,1165.0,> 365 days,2024-07-24,2024-07-24
powerbi-docs/connect-data/service-gateway-onprem-manage-oracle.md,Manage your data source - Oracle - Power BI,1159.0,> 365 days,2023-09-01,2023-09-01
powerbi-docs/developer/embedded/embedded-row-level-security.md,Security in Power BI embedded analytics - Power BI,1158.0,> 365 days,2024-05-14,2024-05-14
powerbi-docs/create-reports/copilot-prompts-report-pages.md,Write Copilot prompts for creating report pages in Power BI - Power BI,1157.0,> 365 days,2024-04-25,2024-04-25
powerbi-docs/visuals/power-bi-visualization-small-multiples.md,Create small multiples in Power BI - Power BI,1152.0,> 365 days,2024-06-21,2024-06-21
powerbi-docs/collaborate-share/service-automate-paginated-integration.md,Export paginated reports with Power Automate - Power BI,1149.0,271-365 days,2024-11-08,2024-11-08
powerbi-docs/developer/embedded/cloud-rls.md,Using standard cloud based row-level security with embedded content in Power BI embedded analytics - Power BI,1146.0,> 365 days,2024-08-05,2024-08-05
powerbi-docs/connect-data/desktop-python-in-query-editor.md,Use Python in Power BI Power Query Editor - Power BI,1132.0,> 365 days,2023-02-13,2023-02-13
powerbi-docs/create-reports/power-bi-report-filter-types.md,Types of filters in Power BI reports - Power BI,1131.0,> 365 days,2022-11-28,2022-11-28
powerbi-docs/natural-language/q-and-a-tooling-teach-q-and-a.md,Teach Q&A to understand questions and terms in Power BI Q&A - Power BI,1123.0,> 365 days,2024-07-11,2024-07-11
powerbi-docs/collaborate-share/service-data-lineage.md,Data lineage - Power BI,1109.0,> 365 days,2023-02-14,2023-02-14
powerbi-docs/create-reports/dynamics-quick-create-report.md,Visualize your data quickly from Power Apps and Dynamics 365 apps - Power BI,1102.0,> 365 days,2023-04-11,2023-04-11
powerbi-docs/connect-data/service-datasets-share.md,Share access to a semantic model - Power BI,1094.0,> 365 days,2024-07-24,2024-07-24
powerbi-docs/connect-data/service-gateway-mashup-on-premises-cloud.md,Merge or append on-premises and cloud data sources - Power BI,1071.0,> 365 days,2024-05-28,2024-05-28
